algorithm,size,min,max,avg
merge,10e0,0.00010919570922851562,0.0001964569091796875,0.0001338958740234375
quick,10e0,0.00012826919555664062,0.00025916099548339844,0.000159454345703125
heap,10e0,0.00011038780212402344,0.00013113021850585938,0.00011539459228515625
insertion,10e0,9.894371032714844e-05,0.0001049041748046875,0.00010066032409667968
selection,10e0,0.00010442733764648438,0.0001087188720703125,0.00010657310485839844
merge,10e1,0.000244140625,0.0002841949462890625,0.0002574443817138672
quick,10e1,0.00025010108947753906,0.0002999305725097656,0.0002819538116455078
heap,10e1,0.0003612041473388672,0.00040793418884277344,0.00038890838623046876
insertion,10e1,0.0005354881286621094,0.0005757808685302734,0.0005621910095214844
selection,10e1,0.0008652210235595703,0.0009710788726806641,0.0009217262268066406
merge,10e2,0.0021200180053710938,0.0021860599517822266,0.0021466732025146483
quick,10e2,0.0025091171264648438,0.002556324005126953,0.002532196044921875
heap,10e2,0.004219770431518555,0.004327535629272461,0.004270696640014648
insertion,10e2,0.0498051643371582,0.050163984298706055,0.05000128746032715
selection,10e2,0.08190774917602539,0.08385157585144043,0.08272371292114258
merge,10e3,0.026875734329223633,0.027685880661010742,0.027158737182617188
quick,10e3,0.03787946701049805,0.03887510299682617,0.03822393417358398
heap,10e3,0.05895090103149414,0.05960583686828613,0.059216642379760744
insertion,10e3,5.570756673812866,5.5946433544158936,5.580800724029541
selection,10e3,8.436805725097656,8.517385482788086,8.485918951034545
merge,10e4,0.39296483993530273,0.3968024253845215,0.39529848098754883
quick,10e4,0.6200120449066162,0.643190860748291,0.629550552368164
heap,10e4,0.9290676116943359,0.9434483051300049,0.9380809307098389
insertion,10e4,-1,-1,-1
selection,10e4,-1,-1,-1
merge,10e5,11.282517671585083,11.458825588226318,11.380823755264283
quick,10e5,19.655922889709473,19.792567491531372,19.726662635803223
heap,10e5,28.195560932159424,28.337419271469116,28.25335030555725
insertion,10e5,-1,-1,-1
selection,10e5,-1,-1,-1
merge,25e0,0.015403270721435547,0.015438079833984375,0.015428638458251953
quick,25e0,0.0154266357421875,0.01543879508972168,0.015434932708740235
heap,25e0,0.015433073043823242,0.015437841415405273,0.01543583869934082
insertion,25e0,0.015426874160766602,0.015439510345458984,0.015432500839233398
selection,25e0,0.015434741973876953,0.015439510345458984,0.015436315536499023
merge,25e1,0.010358572006225586,0.01547098159790039,0.014434051513671876
quick,25e1,0.015452861785888672,0.015481948852539062,0.015467548370361328
heap,25e1,0.015434980392456055,0.015462636947631836,0.015452909469604491
insertion,25e1,0.010344505310058594,0.015461444854736328,0.013402605056762695
selection,25e1,0.015462398529052734,0.015474796295166016,0.015466690063476562
merge,25e2,0.016307830810546875,0.02055501937866211,0.019673538208007813
quick,25e2,0.020492076873779297,0.020533084869384766,0.020520448684692383
heap,25e2,0.030666351318359375,0.030712366104125977,0.030692386627197265
insertion,25e2,0.6554689407348633,0.7054152488708496,0.6793622493743896
selection,25e2,1.0408656597137451,1.057464361190796,1.0511837005615234
merge,25e3,0.15902256965637207,0.1800670623779297,0.17037100791931153
quick,25e3,0.20765161514282227,0.2213127613067627,0.21457285881042482
heap,25e3,0.38680195808410645,0.39849019050598145,0.39230899810791015
insertion,25e3,100.00718522071838,101.10038614273071,100.47002143859864
selection,25e3,55.4921669960022,137.03772282600403,96.67801594734192
merge,25e4,1.1194627285003662,1.1301252841949463,1.1253965377807618
quick,25e4,1.7442359924316406,1.7649352550506592,1.7489096641540527
heap,25e4,2.700012445449829,2.7133376598358154,2.707883882522583
insertion,25e4,-1,-1,-1
selection,25e4,-1,-1,-1
merge,25e5,38.177443504333496,53.25377559661865,44.57129831314087
quick,25e5,64.55401754379272,77.89031410217285,72.95408477783204
heap,25e5,126.83570432662964,146.06486320495605,137.92395067214966
insertion,25e5,-1,-1,-1
selection,25e5,-1,-1,-1
merge,50e0,0.010276556015014648,0.29041290283203125,0.13966903686523438
quick,50e0,0.010318756103515625,3.2346622943878174,0.7071390151977539
heap,50e0,0.030687808990478516,2.3740715980529785,0.6663580894470215
insertion,50e0,0.03066229820251465,0.22423148155212402,0.11421756744384766
selection,50e0,0.07148981094360352,2.0581002235412598,0.6531781673431396
merge,50e1,0.010288476943969727,1.2991623878479004,0.45244832038879396
